ad_id,suburb,district,bedrooms,bathrooms,land_perches,floor_sqft,price_lkr,price_log
5834418,Navatkuli,Jaffna,4,2,73,2500,30000000,17.21670797
5858773,Thalawathugoda,Colombo,4,3,12.41,2800,55000000,17.82284376
5868586,Udahamulla,Colombo,4,3,23.6,2500,140000000,18.75715299
5829870,Wattala,Gampaha,5,4,20,3000,50000000,17.72753358
5690030,Bandarawatta,Gampaha,3,3,40,1500,28000000,17.1477151
5821590,Dehiwala,Colombo,4,4,26.2,3000,225000000,19.23161096
5838873,Ethul Kotte,Colombo,6,5,21.5,3000,170000000,18.951309
5852975,Kottawa,Colombo,6,5,20,4000,65000000,17.98989784
5861722,Rajagiriya,Colombo,4,4,10,4280,85000000,18.25816183
5773390,Beruwala,Kalutara,3,2,73.23,1763,92500000,18.34271921
5871515,Battaramulla,Colombo,4,3,13,3000,58000000,17.87595359
5855139,Colombo 6,Colombo,5,4,18,3000,295000000,19.50248592
5871264,Thalawathugoda,Colombo,4,4,15.8,3650,142000000,18.77133762
5756311,Colombo 5,Colombo,5,4,32,3000,600000000,20.21244021
5870604,Wattala,Gampaha,6,3,19.2,3800,105000000,18.46947092
5842236,Dehiwala,Colombo,3,3,14.19,3000,115000000,18.5604427
5870552,Nugegoda,Colombo,6,6,14.8,3000,146000000,18.79911719
5870198,Kahathuduwa,Colombo,3,3,7.35,1365,29500000,17.19990086
5775872,Homagama,Colombo,7,5,15,2000,45000000,17.62217307
5791002,Maharagama,Colombo,5,4,1,3283.56,40000000,17.50439004
5806819,Kadawatha,Gampaha,8,3,20,3500,41500000,17.54120401
5807783,Kesbewa,Colombo,3,3,11.5,1800,21000000,16.86003304
5807789,Kahathuduwa,Colombo,3,3,6.62,1572,35000000,17.37085865
5833125,Piliyandala,Colombo,4,3,7,2700,34000000,17.34187111
5839833,Panadura,Kalutara,4,3,23.4,2300,43000000,17.5767107
5861454,Nawala,Colombo,2,5,35.5,3000,350000000,19.67344372
5857072,Nugegoda,Colombo,5,3,9,3550,72000000,18.09217669
5869743,Boralesgamuwa,Colombo,4,2,10,2580,46500000,17.65496289
5840319,Colombo 6,Colombo,4,3,12.27,3750,135000000,18.72078534
5868780,Mount Lavinia,Colombo,5,6,11,3000,108000000,18.49764179
5457702,Colombo 6,Colombo,4,4,8.7,1850,69500000,18.05683732
