ad_id,suburb,title,address,price_raw,price_lkr,bedrooms,floor_sqft,url,land_perches,bathrooms
5834418,Navatkuli,House for sale in Navatkuli,"School lane, Navatkuli",Rs. 30M,30000000.0,4.0,2500.0,https://www.lankapropertyweb.com/sale/property_details-5834418.html,73.0,2.0
5858773,Thalawathugoda,Spacious 4-Bedroom House for Sale – Thalawathugoda...,"Hokandara road, Thalawathugoda",Rs. 55MNegotiable,55000000.0,4.0,2800.0,https://www.lankapropertyweb.com/sale/property_details-5858773.html,12.41,3.0
5868586,Udahamulla,"2 Story House in Udahamulla, Nugegoda for Sale",Old Kottawa Road (Off Udeniwat..,Rs. 140MNegotiable,140000000.0,4.0,2500.0,https://www.lankapropertyweb.com/sale/property_details-5868586.html,23.6,3.0
5829870,Wattala,5 Bedroom House for Sale,"Balagala Road, Wattala",Rs. 50MNegotiable,50000000.0,5.0,3000.0,https://www.lankapropertyweb.com/sale/property_details-5829870.html,20.0,4.0
5690030,Bandarawatta,"🏡 House for Sale in Gampaha (Bandarawatta,...","ihalagama, Bandarawatta",Rs. 28MNegotiable,28000000.0,3.0,1500.0,https://www.lankapropertyweb.com/sale/property_details-5690030.html,40.0,
5825030,Colombo 7,House for sale in Colombo 7,"Alexandra Place, Colombo 7",Rs. 750MONO,750000000.0,5.0,,https://www.lankapropertyweb.com/sale/property_details-5825030.html,18.0,5.0
5821590,Dehiwala,"Dehiwela, Lake Road, Off Attidiya Road, a Luxurious...","Attidiya, Lake Road, Dehiwala",Rs. 225M,225000000.0,4.0,,https://www.lankapropertyweb.com/sale/property_details-5821590.html,26.2,4.0
5838873,Ethul Kotte,Luxury Spacious House in an Excellent residential area...,"Colombathanthri Mawatha, Ethul..",Rs. 170MNegotiable,170000000.0,6.0,,https://www.lankapropertyweb.com/sale/property_details-5838873.html,21.5,5.0
5852975,Kottawa,"Kottawa, Siddamulla Spacious Two-Storied 06 Bed Rooms...","Siddamulla, Kottawa",Rs. 65MNegotiable,65000000.0,6.0,4000.0,https://www.lankapropertyweb.com/sale/property_details-5852975.html,20.0,5.0
5861722,Rajagiriya,Four Bed House for Sale in Rajagiriya [HS 14],"Nidahas Mawatha, Kalapaluwawa ..",Rs. 85M,85000000.0,4.0,4280.0,https://www.lankapropertyweb.com/sale/property_details-5861722.html,10.0,4.0
5773390,Beruwala,"3 Bedroom bungalow for sale, with swimming pool, staff...","285/A, Halawagoda Road, Godall..",Rs. 92.5MNegotiable,92500000.0,3.0,1763.0,https://www.lankapropertyweb.com/sale/property_details-5773390.html,73.23,2.0
5871515,Battaramulla,A Four Bed Roomed Luxury And Spacious House In Wickramsinghe...,"Wickremasinghe Pura Road , Bat..",Rs. 58M,58000000.0,4.0,3000.0,https://www.lankapropertyweb.com/sale/property_details-5871515.html,13.0,3.0
